school,n_block_groups,total_pop,Particulate Matter Summary Index_pct_usa,Ozone Summary Index_pct_usa,Diesel Particulate Matter Summary Index_pct_usa,Nitrogen Dioxide (NO2) Summary Index_pct_usa,Toxic Releases to Air Summary Index_pct_usa,Traffic Proximity and Volume Summary Index_pct_usa,Lead Paint Summary Index_pct_usa,Superfund Proximity Summary Index_pct_usa,RMP Proximity Summary Index_pct_usa,Hazardous Waste Proximity Summary Index_pct_usa,Underground Storage Tanks Summary Index_pct_usa,Wastewater Discharge Summary Index_pct_usa,Drinking Water Non-Compliance Summary Index_pct_usa,Particulate Matter Summary Index_pct_state,Ozone Summary Index_pct_state,Diesel Particulate Matter Summary Index_pct_state,Nitrogen Dioxide (NO2) Summary Index_pct_state,Toxic Releases to Air Summary Index_pct_state,Traffic Proximity and Volume Summary Index_pct_state,Lead Paint Summary Index_pct_state,Superfund Proximity Summary Index_pct_state,RMP Proximity Summary Index_pct_state,Hazardous Waste Proximity Summary Index_pct_state,Underground Storage Tanks Summary Index_pct_state,Wastewater Discharge Summary Index_pct_state,Drinking Water Non-Compliance Summary Index_pct_state,Location,year_founded
Grambling State University,4,6131,54.71423911270592,12.428478225411842,18.886315446093622,12.557494699070299,60.71750122329147,16.776545424889903,37.967215788615235,0,21.201761539716195,9.206980916653075,45.75697276137661,41.907356059370414,92.99934757788289,70.2971782743435,16.472190507258198,26.657641494046647,18.082694503343664,73.11547871472843,23.129016473658456,50.257706736258356,0,30.304681128690262,11.937204371228185,60.70167998695156,57.204534333713916,92.75795139455228,"Grambling, LA",1901
H Councill Trenholm State Community College,15,15748,79.24536449072899,4,56.37211074422149,48.56324612649225,49.179006858013715,71.33178816357633,50.64090678181356,29.379413258826517,64.95370840741681,35.138430276860554,56.65582931165862,46.5246380492761,0,79.70732791465583,4.58743967487935,65.60807721615443,57.81654813309627,58.44754889509779,75.87103124206249,52.65151130302261,35.84004318008636,69.47866395732791,44.83909067818136,60.74371348742697,55.080772161544324,0,"Montgomery, AL",1963
Hampton University,17,18359,9.678904079742905,17.442562231058336,40.67993899449861,55.95321095920257,70.37354975761207,63.284438150226045,62.61141674383136,79.1086660493491,14.908219401928209,50.37055395174029,70.01732120485865,74.14200119832235,0,14.113241461953265,24.131052889590936,56.60291954899505,68.55918078326707,78.25339070755487,74.53178277683969,69.98104471921128,85.13132523557928,18.014979029358898,65.24364072117217,76.28874121684187,77.18067432866714,0,"Hampton, VA",1868
Harris-Stowe State University,21,27486,73.48082660263407,71.85541730335443,89.12297169468093,88.10139707487448,68.37208033180528,84.17252419413519,67.83988212180746,89.6861675034563,97.1223531979917,92.07523830313615,85.68904169395329,78.5154624172306,91,84.31466928618205,85.00738557811249,90.24645273957651,88.64829367678091,81.38794295277596,88.57520192097795,75.39074437895655,90.94520846976643,90.75143709524849,90.99843556719784,87.12744670013825,86.25038201266099,92.73684784981445,"St. Louis, MO",1857
Hinds Community College,2,3905,78,4,15.004097311139565,29.322407170294493,26.665300896286812,19.004097311139564,43.29372599231754,0,36.69807938540333,0,47.963124199743916,27.334699103713188,0,77.00819462227913,4.334699103713188,16.34289372599232,34.99180537772087,31.004097311139564,21.34289372599232,45.96722151088348,0,44.36747759282971,0,52.97131882202305,31.67349551856594,0,"Raymond, MS",1917
Howard University,79,97508,18.739313697337654,45.51592689830578,89.5012922016655,85.27603888911679,29.24748738565041,91.72542765721786,76.76113754768839,69.47741723755999,39.86630840546417,98.57745005538007,90.83633137793822,86.40537186692374,0,19.579880625179474,45.55737990728966,75.966987324117,72.49687205152398,29.568845633178817,76.79992410879107,64.6346863847069,71.27507486565204,42.649567214997745,79.30452885917053,73.66409935595028,73.45170652664397,0,"Washington, D.C.",1867
J.F. Drake State Technical College,10,15373,38.667338840824826,17.629935601379042,39.78364665322319,55.22207766863982,99,62.406752097833866,48.63533467768165,61.84889091263904,0,70.14343329213557,67.58641774539778,51.97963962791908,78,63.946074286085995,31.904507903467117,66.24549534898848,73.99928445976713,95.80381187796786,84.25134976907565,69.79268847980225,85.75574058414102,0,88.04664021336109,80.92090027971118,77.26390424770702,93.29499772328107,"Huntsville, AL",1967
Jackson State University,15,14170,86.28087508821454,9.991601976005645,66.17939308398024,84.35702187720537,28.143683839096685,70.61665490472829,78.00903316866619,67.2605504587156,82.10663373323924,49.44311926605505,74.88539167254764,50.10232886379676,99,92.94460127028934,15.874029640084686,84.87050105857445,90.94057868736768,46.60324629498941,86.89146083274524,88.08539167254763,86.4091743119266,89.27177134791813,73.09266055045872,79.72484121383204,72.96400846859562,96.10112914608328,Jackson MS,1877
Jarvis Christian College,1,2561,59,31,15,14,79,9,47,0,67,0,36,41,74,72,42,20,20,85,11,58,0,76,0,49,55,87,"Hawkins, TX",1912
Johnson C. Smith University,21,24234,46.67714780886358,30.50940826937361,74.44383923413386,79.86093917636379,89.51629941404639,89.45460922670628,43.959891062144095,0,82.54435916480978,77.49719402492366,95.21911364199059,42.36518940331765,0,50.03788066353058,34.39572501444252,71.49121069571676,72.83118758768673,77.7126351407114,78.42027729636048,48.123751753734425,0,73.21098456713707,72.47441610959808,78.62775439465214,45.909218453412564,0,"Charlotte,NC",1867
