school,group,Location,year_founded,Latitude,Longitude,n_block_groups,total_pop,PM2.5 [raw]_pct_usa,PM2.5 [EJindex]_pct_usa,Particulate Matter Summary Index_pct_usa,Ozone [raw]_pct_usa,Ozone [EJindex]_pct_usa,Ozone Summary Index_pct_usa,NO2 [raw]_pct_usa,NO2 [EJindex]_pct_usa,Nitrogen Dioxide (NO2) Summary Index_pct_usa,Diesel PM [raw]_pct_usa,Diesel PM [EJindex]_pct_usa,Diesel Particulate Matter Summary Index_pct_usa,Toxic Air [raw]_pct_usa,Toxic Air [EJindex]_pct_usa,Toxic Releases to Air Summary Index_pct_usa,Traffic [raw]_pct_usa,Traffic [EJindex]_pct_usa,Traffic Proximity and Volume Summary Index_pct_usa,Lead Paint [raw]_pct_usa,Lead Paint [EJindex]_pct_usa,Lead Paint Summary Index_pct_usa,Superfund [raw]_pct_usa,Superfund [EJindex]_pct_usa,Superfund Proximity Summary Index_pct_usa,RMP [raw]_pct_usa,RMP [EJindex]_pct_usa,RMP Proximity Summary Index_pct_usa,Hazardous Waste [raw]_pct_usa,Hazardous Waste [EJindex]_pct_usa,Hazardous Waste Proximity Summary Index_pct_usa,UST [raw]_pct_usa,UST [EJindex]_pct_usa,Underground Storage Tanks Summary Index_pct_usa,Wastewater [raw]_pct_usa,Wastewater [EJindex]_pct_usa,Wastewater Discharge Summary Index_pct_usa,Drinking Water [raw]_pct_usa,Drinking Water [EJindex]_pct_usa,Drinking Water Non-Compliance Summary Index_pct_usa,burden_score,state_abbr,region,treat,distance,weights,subclass
Florida Memorial University,HBCU,"Miami Gardens, FL",1879,25.942,-80.2456,57,98300,55.718,83.8917,71.9855,49.2338,81.7444,68.219,75.4486,89.9798,83.2123,90.1469,94.8108,90.04,93.6715,96.1924,90.681,80.8884,92.4325,86.941,57.3602,76.7077,64.1295,79.6308,93.1174,87.6124,79.1005,91.3186,84.0486,66.8395,87.6874,79.8441,69.5901,77.1927,71.4345,12.8358,31.4696,16.7783,97,97.5046,93.6383,76.04342307692306,FL,South,1,0.46413543480742314,1,31
Fort Valley State University,HBCU,"Fort Valley, GA",1895,32.5536,-83.8889,12,15146,71.888,83.4529,82.8561,9.6903,26.5652,13.2823,27.2514,51.8777,40.5667,22.3412,48.2716,33.8279,29.7077,58.5107,43.3916,21.7068,46.8009,33.1375,45.1438,65.2459,55.8921,82.6685,88.095,87.4173,5.7554,10.1672,7.6723,30.5823,57.1657,46.0619,51.436,71.6068,63.7812,10.7401,26.7601,15.9192,0,0,0,40.29277692307692,GA,South,1,0.490533820812574,1,32
Gadsden State Community College,HBCU,"Gadsden, AL",1985,34.0143,-85.9708,20,19543,61.6191,75.4643,82.901,11.7992,29.8771,20.1841,28.387,49.8573,47.0059,36.405,58.1709,58.351,81.3336,83.7098,90.8636,44.8414,64.5836,68.949,62.3609,74.7564,77.4518,0,0,0,87.9258,83.9257,90.9511,29.0478,53.5301,50.6469,65.0719,76.5299,79.7486,44.7679,67.0026,68.9782,97.1823,93.1262,95.9145,63.995823076923074,AL,South,1,0.6358639863209783,1,33
Grambling State University,HBCU,"Grambling, LA",1901,32.527,-92.7149,8,11571,54.7641,83.2418,69.1541,12.5281,39.238,16.6481,11.2556,34.9584,15.7151,17.5776,45.0358,23.8757,52.5293,82.1746,65.4131,16.6958,46.1403,23.0302,33.0047,66.8414,43.6806,0,0,0,25.7884,48.6293,34.7057,13.5345,36.7519,18.4965,43.8052,76.4886,57.8341,40.6157,75.3698,54.7207,62.6681,65.9169,63.3593,37.43332307692308,LA,South,1,0.5004547971499863,1,34
H Councill Trenholm State Community College,HBCU,"Montgomery, AL",1963,32.3473,-86.267,48,53772,79.1144,82.6639,83.9641,3.9809,11.5858,5.2227,49.0413,67.6544,63.0184,58.7194,73.7497,72.3503,48.8641,71.1886,63.9804,70.4418,78.4935,79.5985,50.2016,60.2416,55.097,28.6249,38.3168,37.497,55.208,66.6796,64.0539,35.5174,60.3367,51.029,67.6901,76.4471,73.7559,49.2934,70.5731,63.4143,0,0,0,54.844730769230765,AL,South,1,0.6015512791364068,1,35
Hampton University,HBCU,"Hampton, VA",1868,37.026,-76.3452,45,56637,9.4397,24.1568,13.2166,17.672,39.2153,23.4527,50.9043,67.8398,62.8357,38.1455,60.5483,52.1852,70.3868,80.5844,77.8026,60.0584,73.1525,71.6894,58.1559,72.1027,64.3362,80.6519,85.9083,85.0982,10.7149,18.5644,13.8331,50.1937,68.4449,63.6342,66.6804,78.0877,73.4849,57.7209,70.0099,63.3347,0,0,0,51.14642307692308,VA,South,1,0.4460935366159296,1,36
Harris-Stowe State University,HBCU,"St. Louis, MO",1857,38.6367,-90.2343,79,87527,72.9887,78.6009,78.1052,71.6704,79.5773,79.0167,85.5368,81.2739,82.9485,88.4807,83.0091,85.5337,68.4632,78.2603,75.575,83.4666,81.2382,83.7021,80.3772,80.6029,77.8626,89.5066,86.5395,86.8538,96.951,85.1776,86.2359,91.1479,83.7449,86.0821,85.42,82.1665,81.6812,78.6477,81.3995,80.8837,91,91.6122,89.9262,82.64666923076923,MO,Midwest,1,0.3125443779977678,1,37
Hinds Community College,HBCU,"Raymond, MS",1917,32.2678,-90.4142,5,8198,78.5292,78.0881,79.0535,4,8.9097,4.5622,20.4402,36.8747,25.131,13.8502,29.2951,15.8836,25.4613,44.0026,30.8767,16.9347,33.5371,20.4973,42.6372,58.9502,48.2566,0,0,0,28.2401,42.1008,34.1863,0,0,0,35.7619,53.9923,42.8308,29.2788,47.906,35.6761,0,0,0,25.919546153846156,MS,South,1,0.526887787949472,1,38
Howard University,HBCU,"Washington, D.C.",1867,38.9227,-77.0194,225,260815,18.89,30.7388,19.0824,45.2811,55.9369,43.8518,82.5992,70.7532,68.8451,89.7687,74.1514,73.7826,30.8618,43.0655,30.7521,91.4707,74.231,74.4261,75.1515,68.2357,61.0064,70.8133,75.7327,70.9313,38.7434,51.9276,41.617,97.9953,76.6354,76.8354,79.3079,68.2931,64.2875,86.0679,74.6406,70.932,0,0,0,53.565361538461545,DC,Northeast,1,0.6682612975778888,1,39
J.F. Drake State Technical College,HBCU,"Huntsville, AL",1967,34.7718,-86.5733,27,41253,38.4644,57.4757,55.2723,17.6976,37.0549,26.7023,47.5347,60.8174,60.9466,36.6949,55.7588,54.8403,99,83.0307,91.5502,57.9207,67.7917,73.5085,40.992,58.7755,54.0774,52.1915,67.5373,68.8521,0,0,0,66.0007,72.0076,78.9085,62.0702,68.9678,69.9245,47.8428,64.074,64.9137,77.2909,88.7219,89.0161,60.6548076923077,AL,South,1,0.6078757927931666,1,40
